"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Working","2010","Appalachian","19 Years and Older","0% or more FPL","692,783","646,182","739,383","50.7","47.9","53.5"
"Working","2010","Metropolitan","19 Years and Older","0% or more FPL","2,523,649","2,433,331","2,613,966","53.3","51.8","54.9"
"Working","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","668,817","625,791","711,843","58.2","55.4","60.9"
"Working","2010","Suburban","19 Years and Older","0% or more FPL","814,044","766,481","861,606","57.8","55.2","60.4"
"Not Working","2010","Appalachian","19 Years and Older","0% or more FPL","673,720","633,102","714,339","49.3","46.5","52.1"
"Not Working","2010","Metropolitan","19 Years and Older","0% or more FPL","2,208,106","2,130,251","2,285,961","46.7","45.1","48.2"
"Not Working","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","480,811","448,670","512,952","41.8","39.1","44.6"
"Not Working","2010","Suburban","19 Years and Older","0% or more FPL","594,312","554,927","633,697","42.2","39.6","44.8"
"Working","2012","Appalachian","19 Years and Older","0% or more FPL","710,097","674,638","745,555","52.5","50.7","54.2"
"Working","2012","Metropolitan","19 Years and Older","0% or more FPL","2,606,432","2,539,209","2,673,655","55.4","54.4","56.4"
"Working","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","660,303","624,921","695,686","58.2","56.2","60.2"
"Working","2012","Suburban","19 Years and Older","0% or more FPL","861,047","818,902","903,191","60.7","58.9","62.5"
"Not Working","2012","Appalachian","19 Years and Older","0% or more FPL","643,062","615,783","670,341","47.5","45.8","49.3"
"Not Working","2012","Metropolitan","19 Years and Older","0% or more FPL","2,101,377","2,048,188","2,154,566","44.6","43.6","45.6"
"Not Working","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","473,651","448,211","499,090","41.8","39.8","43.8"
"Not Working","2012","Suburban","19 Years and Older","0% or more FPL","557,615","529,434","585,796","39.3","37.5","41.1"
"Working","2015","Appalachian","19 Years and Older","0% or more FPL","792,797","768,861","816,734","56.2","54.9","57.4"
"Working","2015","Metropolitan","19 Years and Older","0% or more FPL","2,725,622","2,680,335","2,770,909","59.4","58.7","60.1"
"Working","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","663,492","641,974","685,009","59.8","58.4","61.1"
"Working","2015","Suburban","19 Years and Older","0% or more FPL","804,307","780,422","828,192","61.6","60.4","62.8"
"Not Working","2015","Appalachian","19 Years and Older","0% or more FPL","618,504","599,375","637,632","43.8","42.6","45.1"
"Not Working","2015","Metropolitan","19 Years and Older","0% or more FPL","1,861,242","1,826,018","1,896,466","40.6","39.9","41.3"
"Not Working","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","446,885","430,780","462,989","40.2","38.9","41.6"
"Not Working","2015","Suburban","19 Years and Older","0% or more FPL","501,368","483,720","519,015","38.4","37.2","39.6"
"Working","2017","Appalachian","19 Years and Older","0% or more FPL","731,283","705,915","756,651","53.1","51.7","54.5"
"Working","2017","Metropolitan","19 Years and Older","0% or more FPL","2,840,254","2,792,424","2,888,084","61.6","60.8","62.3"
"Working","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","679,559","656,563","702,554","58.9","57.5","60.3"
"Working","2017","Suburban","19 Years and Older","0% or more FPL","821,819","795,193","848,446","61.3","60.0","62.6"
"Not Working","2017","Appalachian","19 Years and Older","0% or more FPL","646,484","625,203","667,766","46.9","45.5","48.3"
"Not Working","2017","Metropolitan","19 Years and Older","0% or more FPL","1,771,963","1,734,042","1,809,884","38.4","37.7","39.2"
"Not Working","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","473,534","455,927","491,142","41.1","39.7","42.5"
"Not Working","2017","Suburban","19 Years and Older","0% or more FPL","518,204","498,961","537,446","38.7","37.4","40.0"
"Working","2019","Appalachian","19 Years and Older","0% or more FPL","713,161","677,198","749,123","52.0","50.1","53.8"
"Working","2019","Metropolitan","19 Years and Older","0% or more FPL","2,981,445","2,913,401","3,049,490","60.9","60.0","61.9"
"Working","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","7e+05","661,121","738,880","59.9","57.9","61.9"
