"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Working","2021","Appalachian","19 Years and Older","0% or more FPL","712,685","683,440","741,930","52.4","50.8","54.1"
"Working","2021","Metropolitan","19 Years and Older","0% or more FPL","2,893,202","2,833,585","2,952,820","59.3","58.4","60.1"
"Working","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","671,219","641,929","700,508","57.6","55.8","59.3"
"Working","2021","Suburban","19 Years and Older","0% or more FPL","892,735","860,922","924,548","58.9","57.1","60.6"
"Not Working, Looking","2021","Appalachian","19 Years and Older","0% or more FPL","96,817","83,985","109,648","7.1","6.2","8.0"
"Not Working, Looking","2021","Metropolitan","19 Years and Older","0% or more FPL","386,693","358,398","414,988","7.9","7.4","8.5"
"Not Working, Looking","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","57,547","46,899","68,195","4.9","4.0","5.8"
"Not Working, Looking","2021","Suburban","19 Years and Older","0% or more FPL","87,052","65,053","109,051","5.7","4.4","7.1"
"Not Working, Not Looking","2021","Appalachian","19 Years and Older","0% or more FPL","495,858","475,828","515,889","36.5","35.0","38.0"
"Not Working, Not Looking","2021","Metropolitan","19 Years and Older","0% or more FPL","1,426,321","1,388,103","1,464,538","29.2","28.5","30.0"
"Not Working, Not Looking","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","398,015","379,304","416,726","34.1","32.5","35.8"
"Not Working, Not Looking","2021","Suburban","19 Years and Older","0% or more FPL","495,310","468,521","522,099","32.7","31.0","34.3"
"Not Working, Unknown if Looking","2021","Appalachian","19 Years and Older","0% or more FPL","53,433","45,023","61,844","3.9","3.3","4.5"
"Not Working, Unknown if Looking","2021","Metropolitan","19 Years and Older","0% or more FPL","175,503","161,442","189,563","3.6","3.3","3.9"
"Not Working, Unknown if Looking","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","38,848","32,241","45,454","3.3","2.8","3.9"
"Not Working, Unknown if Looking","2021","Suburban","19 Years and Older","0% or more FPL","41,815","35,163","48,468","2.8","2.3","3.2"
