"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Usual Source of Care","2010","Appalachian","19 Years and Older","0% or more FPL","1,247,826","1,203,104","1,292,549","91.8","90.2","93.4"
"Usual Source of Care","2010","Metropolitan","19 Years and Older","0% or more FPL","4,287,442","4,202,287","4,372,598","91.7","90.7","92.6"
"Usual Source of Care","2010","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,038,224","999,136","1,077,312","91.4","89.7","93.2"
"Usual Source of Care","2010","Suburban","19 Years and Older","0% or more FPL","1,280,468","1,235,498","1,325,438","92.0","90.4","93.6"
"Usual Source of Care","2012","Appalachian","19 Years and Older","0% or more FPL","1,237,059","1,198,141","1,275,978","92.1","91.0","93.1"
"Usual Source of Care","2012","Metropolitan","19 Years and Older","0% or more FPL","4,298,268","4,227,657","4,368,879","91.9","91.2","92.5"
"Usual Source of Care","2012","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,035,571","997,423","1,073,719","92.0","90.7","93.3"
"Usual Source of Care","2012","Suburban","19 Years and Older","0% or more FPL","1,317,723","1,272,821","1,362,626","93.4","92.3","94.4"
"Usual Source of Care","2015","Appalachian","19 Years and Older","0% or more FPL","1,315,928","1,291,152","1,340,704","93.2","92.5","93.9"
"Usual Source of Care","2015","Metropolitan","19 Years and Older","0% or more FPL","4,250,737","4,204,790","4,296,684","92.4","92.0","92.8"
"Usual Source of Care","2015","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,039,680","1,017,113","1,062,247","93.5","92.8","94.2"
"Usual Source of Care","2015","Suburban","19 Years and Older","0% or more FPL","1,215,651","1,189,940","1,241,363","93.2","92.6","93.8"
"Usual Source of Care","2017","Appalachian","19 Years and Older","0% or more FPL","1,245,916","1,219,595","1,272,237","92.2","91.4","92.9"
"Usual Source of Care","2017","Metropolitan","19 Years and Older","0% or more FPL","4,143,002","4,096,350","4,189,654","91.5","91.1","92.0"
"Usual Source of Care","2017","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,052,677","1,029,212","1,076,142","92.5","91.8","93.2"
"Usual Source of Care","2017","Suburban","19 Years and Older","0% or more FPL","1,204,486","1,177,029","1,231,942","92.1","91.4","92.9"
"Usual Source of Care","2019","Appalachian","19 Years and Older","0% or more FPL","1,202,115","1,164,971","1,239,260","92.1","91.1","93.0"
"Usual Source of Care","2019","Metropolitan","19 Years and Older","0% or more FPL","4,187,734","4,119,633","4,255,835","91.4","90.9","91.9"
"Usual Source of Care","2019","Rural Non-Appalachian","19 Years and Older","0% or more FPL","1,000,861","962,522","1,039,200","90.4","89.2","91.6"
"Usual Source of Care","2019","Suburban","19 Years and Older","0% or more FPL","1,305,776","1,268,316","1,343,236","90.8","89.7","91.8"
"Usual Source of Care","2021","Appalachian","19 Years and Older","0% or more FPL","1,136,582","1,108,268","1,164,895","87.7","86.5","89.0"
"Usual Source of Care","2021","Metropolitan","19 Years and Older","0% or more FPL","4,099,114","4,038,110","4,160,118","89.2","88.6","89.8"
"Usual Source of Care","2021","Rural Non-Appalachian","19 Years and Older","0% or more FPL","982,242","954,959","1,009,525","88.9","87.5","90.2"
"Usual Source of Care","2021","Suburban","19 Years and Older","0% or more FPL","1,290,228","1,253,360","1,327,095","89.6","88.3","90.8"
