"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"0 ACES","2019","Appalachian","0 to 18","0% or more FPL","203,857","184,188","223,527","51.4","47.8","55.0"
"0 ACES","2019","Metropolitan","0 to 18","0% or more FPL","742,049","706,787","777,311","50.1","48.1","52.1"
"0 ACES","2019","Rural Non-Appalachian","0 to 18","0% or more FPL","195,093","174,507","215,678","52.3","48.0","56.6"
"0 ACES","2019","Suburban","0 to 18","0% or more FPL","265,625","245,079","286,172","57.4","54.0","60.8"
"1-3 ACES","2019","Appalachian","0 to 18","0% or more FPL","145,451","131,965","158,936","36.7","33.6","39.7"
"1-3 ACES","2019","Metropolitan","0 to 18","0% or more FPL","610,455","577,427","643,483","41.2","39.2","43.2"
"1-3 ACES","2019","Rural Non-Appalachian","0 to 18","0% or more FPL","149,475","129,300","169,650","40.1","35.8","44.4"
"1-3 ACES","2019","Suburban","0 to 18","0% or more FPL","167,712","150,525","184,900","36.2","32.9","39.6"
"4+ ACES","2019","Appalachian","0 to 18","0% or more FPL","47,356","37,267","57,446","11.9","9.4","14.5"
"4+ ACES","2019","Metropolitan","0 to 18","0% or more FPL","129,139","111,520","146,757","8.7","7.6","9.9"
"4+ ACES","2019","Rural Non-Appalachian","0 to 18","0% or more FPL","28,232","22,266","34,199","7.6","6.0","9.2"
"4+ ACES","2019","Suburban","0 to 18","0% or more FPL","29,373","23,024","35,721","6.3","5.0","7.7"
"0 ACES","2021","Appalachian","0 to 18","0% or more FPL","206,818","190,010","223,625","51.5","48.1","54.9"
"0 ACES","2021","Metropolitan","0 to 18","0% or more FPL","823,342","787,984","858,700","55.6","53.7","57.5"
"0 ACES","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","208,579","193,050","224,109","56.1","52.5","59.7"
"0 ACES","2021","Suburban","0 to 18","0% or more FPL","267,849","250,053","285,646","57.2","53.8","60.5"
"1-3 ACES","2021","Appalachian","0 to 18","0% or more FPL","143,519","129,573","157,464","35.7","32.4","39.0"
"1-3 ACES","2021","Metropolitan","0 to 18","0% or more FPL","538,923","509,715","568,131","36.4","34.6","38.2"
"1-3 ACES","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","123,889","110,526","137,251","33.3","30.0","36.7"
"1-3 ACES","2021","Suburban","0 to 18","0% or more FPL","165,196","147,921","182,470","35.3","32.0","38.5"
"4+ ACES","2021","Appalachian","0 to 18","0% or more FPL","51,212","41,141","61,283","12.8","10.4","15.1"
"4+ ACES","2021","Metropolitan","0 to 18","0% or more FPL","118,880","102,827","134,934","8.0","7.0","9.1"
"4+ ACES","2021","Rural Non-Appalachian","0 to 18","0% or more FPL","39,288","28,440","50,136","10.6","7.8","13.3"
"4+ ACES","2021","Suburban","0 to 18","0% or more FPL","35,554","26,828","44,281","7.6","5.8","9.4"
