"Survey Indicator","Survey Year","Stratification","Ages","Income","Estimated Total","90% CI LB Total","90% CI UB Total","Estimated Percentage","90% CI LB Percentage","90% CI UB Percentage"
"Special Therapy","2010","Appalachian","1 to 17","0% or more FPL","21,684","11,394","31,974","5.9","3.1","8.6"
"Special Therapy","2010","Metropolitan","1 to 17","0% or more FPL","109,443","83,683","135,203","8.1","6.3","10.0"
"Special Therapy","2010","Rural Non-Appalachian","1 to 17","0% or more FPL","39,353","23,069","55,637","12.4","7.6","17.2"
"Special Therapy","2010","Suburban","1 to 17","0% or more FPL","27,505","14,069","40,941","7.4","3.9","10.8"
"Special Therapy","2012","Appalachian","1 to 17","0% or more FPL","41,483","32,601","50,364","10.9","8.6","13.1"
"Special Therapy","2012","Metropolitan","1 to 17","0% or more FPL","124,979","108,744","141,213","9.4","8.2","10.5"
"Special Therapy","2012","Rural Non-Appalachian","1 to 17","0% or more FPL","29,036","20,958","37,113","8.2","6.0","10.5"
"Special Therapy","2012","Suburban","1 to 17","0% or more FPL","37,847","28,195","47,498","8.9","6.7","11.1"
"Special Therapy","2015","Appalachian","1 to 17","0% or more FPL","38,182","31,650","44,714","9.1","7.6","10.6"
"Special Therapy","2015","Metropolitan","1 to 17","0% or more FPL","139,445","126,608","152,282","10.6","9.6","11.5"
"Special Therapy","2015","Rural Non-Appalachian","1 to 17","0% or more FPL","29,811","24,261","35,362","8.8","7.2","10.4"
"Special Therapy","2015","Suburban","1 to 17","0% or more FPL","36,052","30,405","41,699","10.0","8.5","11.5"
"Special Therapy","2017","Appalachian","1 to 17","0% or more FPL","37,933","31,059","44,807","9.4","7.7","11.0"
"Special Therapy","2017","Metropolitan","1 to 17","0% or more FPL","124,049","111,698","136,400","10.3","9.3","11.2"
"Special Therapy","2017","Rural Non-Appalachian","1 to 17","0% or more FPL","28,700","23,257","34,143","8.0","6.5","9.5"
"Special Therapy","2017","Suburban","1 to 17","0% or more FPL","41,379","33,605","49,153","10.0","8.2","11.8"
"Special Therapy","2019","Appalachian","1 to 17","0% or more FPL","31,316","25,149","37,484","8.8","7.1","10.5"
"Special Therapy","2019","Metropolitan","1 to 17","0% or more FPL","144,904","127,219","162,589","10.9","9.6","12.2"
"Special Therapy","2019","Rural Non-Appalachian","1 to 17","0% or more FPL","42,579","30,537","54,621","12.9","9.6","16.3"
"Special Therapy","2019","Suburban","1 to 17","0% or more FPL","49,221","37,750","60,693","11.9","9.2","14.6"
"Special Therapy","2021","Appalachian","1 to 17","0% or more FPL","48,507","37,969","59,044","13.7","10.9","16.5"
"Special Therapy","2021","Metropolitan","1 to 17","0% or more FPL","152,062","132,954","171,170","11.3","9.9","12.7"
"Special Therapy","2021","Rural Non-Appalachian","1 to 17","0% or more FPL","26,795","20,295","33,295","7.9","6.0","9.8"
"Special Therapy","2021","Suburban","1 to 17","0% or more FPL","39,791","30,806","48,776","9.3","7.3","11.4"
